1,Destination,Route,Towards,Notes,Old-Inn
From,Kublis:Via Saas:(Landquart),231,Kublis,Lift pass not accepted as a ticket for travel. Gust cards valid for travel only if staying in Saas and guestcard is marked with an S. Monday to Saturday only - no service on public holidays,05:28
To,Klosters Platz - Station:Via Serneus:Via Saas:(Davos),231,Klosters Platz - Station:Serneus:Dorf,Lift passes not accepted for travel. Gust cards valid for travel only if staying in Saas and guestcard is marked with an S. No service Sundays or public holidays.,05:54
From,Kublis:Via Saas:(Landquart),231,Kublis,Lift pass not accepted as a ticket for travel. Gust cards valid for travel only if staying in Saas and guestcard is marked with an S.,06:28
To,Klosters Platz - Station:Via Serneus:Via Saas:(Davos),231,Klosters Platz - Station:Serneus:Dorf,Lift passes not accepted for travel. Gust cards valid for travel only if staying in Saas and guestcard is marked with an S. Connection to Davos not availible on weekends or public holidays.,06:31
To,Klosters Platz - Station:Via Serneus:Via Saas:(Davos),231,Klosters Platz - Station:Serneus:Dorf,Lift passes not accepted for travel. Gust cards valid for travel only if staying in Saas and guestcard is marked with an S.,06:54
From,Kublis:Via Saas:(Landquart),231,Kublis,Lift pass not accepted as a ticket for travel. Gust cards valid for travel only if staying in Saas and guestcard is marked with an S. Through connection to Landquart is weekdays only and not availbe on public holidays.,06:55
To,Klosters Platz - Station:Via Serneus:Via Serneus Bad:Via Saas,231,Klosters Platz - Station:Serneus:Dorf:Bad,Lift passes not accepted for travel. Gust cards valid for travel only if staying in Saas and guestcard is marked with an S. Calls at Serneus Bad between 23 Dec-9 Apr and 1 July-30 Sept.,07:24
From,Kublis:Via Saas:(Landquart),231,Kublis,Lift pass not accepted as a ticket for travel. Gust cards valid for travel only if staying in Saas and guestcard is marked with an S.,07:28
To,Klosters Platz - Station:Via Serneus:Via Saas:(Davos),231,Klosters Platz - Station:Serneus:Dorf,Lift passes not accepted for travel. Gust cards valid for travel only if staying in Saas and guestcard is marked with an S.,07:54
From,Kublis:Via Saas:(Landquart),231,Kublis,Lift pass not accepted as a ticket for travel. Gust cards valid for travel only if staying in Saas and guestcard is marked with an S.,07:58
To,Klosters Platz - Station:Via Serneus:Via Serneus Bad:Via Saas:(Davos),231,Klosters Platz - Station:Serneus:Dorf:Bad,Lift passes not accepted for travel. Gust cards valid for travel only if staying in Saas and guestcard is marked with an S. Calls at Serneus Bad between 23 Dec-9 Apr and 1 July-30 Sept. Connection to Davos 24 Dec - 11 Mar only.,08:24
From,Kublis:Via Saas:(Landquart),231,Kublis,Lift pass not accepted as a ticket for travel. Gust cards valid for travel only if staying in Saas and guestcard is marked with an S.,08:28
To,Klosters Platz - Station:Via Serneus:Via Saas:(Davos),231,Klosters Platz - Station:Serneus:Dorf,Lift passes not accepted for travel. Gust cards valid for travel only if staying in Saas and guestcard is marked with an S.,08:54
From,Kublis:Via Saas,231,Kublis,Lift pass not accepted as a ticket for travel. Gust cards valid for travel only if staying in Saas and guestcard is marked with an S.,08:58
